icao,name
03VA,Fredericksburg - Spotsylvania
03WA,Spangle
03WI,Grafton Aurora
03WN,Goldendale - Aerostone
03WT,Lopez Island
03XA,El Paso - Center
03XS,Mertzon - Creekside
04A,Luverne - Frank Sikes
04AA,Soldotna - Flying W Ranch
04AL,Anniston Army
04AN,Sutton - North
04AR,Benton - Saline Meml Hospital
04AZ,White Hills
04CA,Palmdale - Gray Butte
04CL,Julian - Ranch
04FA,Homestead - Richards
04FD,Brandon Tampa
04FL,Ormond - Cross Creek Farms
04G,Youngstown - Lansdowne
04GA,Monroe - Verge Towers
04IA,Packwood - Middlekoop
04ID,Emmett - Lanham
04II,New Haven - Turkey Run
04IL,Hudson - Full Throttle
04IN,Angola - Lake Gage
04IS,Mansfield - Van Gorder
04KS,Minneola - Kraemer Airfield
04KY,Hiseville - Natchez Trace Farm
04LA,Lutcher - St
04LL,West Dundee - Brunner
04LS,Baton Rouge - La
04M,Pittsboro - Calhoun County
04MA,Haverhill - Goddard
04MD,Chesapeake City
04ME,Mercer - Beech Hill
04MI,Eaton Rapids Airway
04MN,Kelliher - Helblad
04MO,Kansas City - Kc Stadium
04MS,Rolling Fork - Inc
04MT,Cohagen - Pluhar
04NC,Cary
04NE,Sarben - Mc Connell
04NJ,Elmer - Emmanuel
04NR,Jacksonville - Mcgee 04
04NV,Sandy Valley - Kingston Ranch
04NY,Hudson - Klaverack
04OG,Forest Grove - Teufel
04OH,Brunswick Cleveland
04OK,Stillwater Medical
04OR,Mitchell - Collins Landing Strip
04SC,Easley - Emergency Helipad
04SD,Eagle Butte - Center
04TA,Austin - Building
04TE,Houston - Center
04TN,Chuckey - Hensley
04TT,Utopia - Brushy Creek Ranch
04TX,China Spring - Pocock
04UT,Navajo Mountain Trdng Post
04V,Saguache
04VA,Lebanon - Center
04VG,Manquin
04VT,Cabot - Lightning Bolt
04W,Hinckley - Field
04WA,Spokane - Ox Meadows
04WI,Bristol - Dutch Gap Airstrip
04WN,Royal City - Stillwater Creek
04XA,Jermyn - Pecan
04Y,Hawley
05AA,Chatham
05AK,Palmer - Wasilla Creek
05AL,Fort Novosel (Wicksburg) - Allen Stagefield Ahp
05AN,Fox - Aerodrome
05AR,Kingston - Ozark Skies
05AZ,Yuma Rgnl Medical Center
05B,Van Buren
05C,Griffith
05CA,Calabasas - Lost Hills Sheriff'S
05CL,Pope Valley
05CO,Mead - Rancho De Aereo
05D,New Town
05FA,Florala - Melanie
05FD,North Miami Beach - Aventura
05FL,La Belle - Charlton Strip
05GA,Richland - Ark
05IA,Nora Springs - Spotts
05ID,Grangeville - Running Creek Ranch
05II,New Haven - Reichhart
05IL,Bonfield - Classic Landings
05IN,Belleville - Cooper
05IS,Mount Auburn - Hardy
05KS,Elk City - Darbro
05KT,Frankfort - High Point Farm
05KY,Berea - Cartersville
05LA,Baskin - Greg'S Flying Service
05LL,Willowbrook - Midwest Meml
05LS,Alexandria - Grass Roots
05M,Lehi - Point
05MA,Ipswich - Bentley
05MD,Chestertown - Breezecroft
05ME,Jonesboro - Drisko Kelley
05MI,Taylor Beaumont
05MN,Aurora - Center
05MO,Edina - Jetsetter Outdoors
05MT,Belgrade - Jones Landing
05N,Winterville - South
05NC,Beaufort - Dead Cow
05NE,Spalding - Mc Kay
05NH,Kensington - Stumpfield
05NJ,Jersey City - Paulus Hook Pier
05NR,Mebane - Fox
05NV,Baker Ranches
05NY,Pulaski Oswego
05OG,Eugene - Drill
05OH,Conesville - Eaglecrest
05OI,Columbia Station - Dorlon
05OK,Hydro - Muncy
05OR,Enterprise - 6 Ranch
05PA,Philadelphia - Peco Mob
05PN,Harrisburg - Iii
05PS,Burnt Cabins - Mills Brothers
05S,Vernonia
05TA,Sealy - Brandes Air
05TE,Georgetown - Hilde-Griff
05TN,Memphis - Regional
05TS,Justin - Dew Drop
05TX,Blum - Circle 'A' Ranch
05U,Eureka
05UT,Veyo - Sand Cove Ranch
05V,Blanca
05VA,Farmville - Providence
05VT,Highgate Springs
05WA,Spokane - Helistop
05WI,Darien - Ames Private
05WN,Kettle Falls - Flat Creek
05XA,Dumas - District
05XS,Wilmot - Johnson
05Y,Henning
06A,Tuskegee - Moton
06AA,Sterling - Twisted Sisters
06AK,Wasilla - June Lake
06AL,Fort Novosel (New Brockton) - Brown Stagefield Ahp
06AN,Nikiski - Niesen Airstrip
06AR,Higden - Cy Bond Meml
06AZ,Gilbert Mercy
06B,Bangor - Lucky Landing Marina
06C,Chicago/Schaumburg Rgnl
06CA,Yermo - Sce Solar I
06CL,Glendale - Abc7-Tv
06CO,Branson - Jecan
06D,Rolla Krech
06FA,Jupiter - William P Gwinn
06FD,Mascotte - Grass Roots
06FL,Clearwater - Morton Plant Hospital
06GA,Redan - Smith
06I,French Lick - Area
06IA,Walford - Rich
06ID,Kuna - Larkin
06IL,Earlville - Humm
06IN,Bloomington Iu
06IS,Nauvoo - Sinele Strip
06KY,Williamstown - Air Evac 133
06LA,Belle Chasse - Panther Helicopters Inc
06LS,St Francisville - Tembec
06M,Eupora
06MA,Pepperell - The Barn
06MD,Baltimore - Center
06ME,Bethel - Barker
06MI,Jackson Henry
06MN,Deer River - Cutfoot Sioux
06MO,Waldron - Noahs Ark
06MT,Ethridge - Torgerson
06N,Middletown - Randall
06N7,New York
06NC,St. Pauls - Tailwinds
06ND,Glen Ullin - Fitterer
06NH,Kensington - Cole Farm
06NJ,New Brunswick J&J
06NV,Baker - Silver Creek
06NY,Auburn - Murphy
06O1,Youngstown - Center
06OH,Williamsfield - Hal Joy
06OI,New Lebanon - Green Acres
06OR,Forest Grove - Hayden Mountain
06PA,Ceres - Freefall Oz
06SN,Derby - Beyer Farm
06TA,Buckholts - Glaser
06TE,Cleveland - Cavok
06TN,Columbia - Hunter
06TS,Paint Rock - M Sansom Ranch
06TT,Fort Mckavett - 6 Mile
06TX,Hockley - Diamond N Ranch
06U,Jackpot
06VA,Grottoes - Mount Horeb
06WA,Spokane - Yard
06WI,Wausaukee - Lazy River
06WN,Yelm - Western
06XA,Van Alstyne - Hill
06XS,Aubrey - Campbell
06Y,Herman
07A,Union Springs - Franklin
07AA,Willow - Pan Lake Strip
07AL,Fort Novosel (Samson) - Stagefield Ahp
07AN,Trapper Creek - Bro Majors
07AR,Morrilton
07AZ,Scottsdale - Peoples Hangar
07CL,Richvale
07CO,Kiowa - Comanche Creek
07F,Gladewater
07FA,Key Largo - Ocean Reef Club
07FD,Miami University
07FL,Lecanto - Home
07GA,Covington - Alcovy
07GE,Ocilla - Pope Pate
07I,Bloomington - Lake Monroe
07IA,Shambaugh - Hoskins Landing
07ID,Oldtown - Shepard Strip
07II,North Vernon - St
07IN,Boggstown - Gray
07K,Central City
07KS,Augusta - Heape
07KY,Louisville - Blue Lick
07LA,Forest Hill - Richmond
07LS,Monroe - La
07MA,Plymouth - West
07MD,Westminster - Baugher'S Orchard
07ME,Westbrook
07MI,Lake - Scott Airstrip
07MN,Sleepy Eye Medical
07MO,Warrensburg - Lake Sexton
07MT,Glasgow Industrial
07N,Kralltown - Bermudian Valley
07NC,Waxhaw - Hawks Meadow
07NH,Washington - Diving Rock
07NJ,North Bergen - Hackensack Umc Palisades
07NV,Baker - Border Line Farm
07OK,Snyder - Pleasant Valley
07OR,Milwaukie - Bruce'S
07PA,Albion - Dream Air
07PN,Grassflat - Folmar
07PR,Isabela Advanced
07R,Bishop Windham
07S,Beaumont Hotel
07SN,Phillipsburg - Churchill
07TA,Danbury - Salaika
07TE,Gainesville - Peak 7 Ranch
07TN,Ripley - Lauderdale Community Hospital
07TS,Georgetown - Marshall
07TX,Princeton - Pecks
07UT,Howell - E Northrop Grumman
07V,La Veta
07VA,Clover - Alpha Hotel
07VT,Jericho - Meadow
07WA,Spokane - Multicare Deaconess Hospital
07WI,Lake Geneva - Mercyhealth Walworth
07XA,Smithville - Fred Luecke
07XS,Crowley - Allen Ponderosa
07Y,Hill City Quadna
08A,Wetumpka
08AK,Big Lake - Fisher
08AL,Gulf Shores - Little Lagoon
08AN,Palmer - Base
08AR,Ashdown - Garrison
08AZ,Mesa
08B,Bowdoinham - Merrymeeting
08C,Jenison - Riverview
08CA,Diamond Springs - Cntr
08CL,Jamestown - Kistler Ranch
08CO,Rush - Terra Firma
08CT,Winsted - Seavair'S Landing
08D,Stanley Muni
08F,Coalgate
08FA,La Belle - Duda Airstrip
08FD,Okeechobee - Sunniland Ranch
08FL,Lake Placid - Farms
08GA,Darien - Sapelo Island
08GE,Ellabell - America
08ID,Marsing - Symms
08II,Lagrange Parkview
08IL,Cortland - Marshall Farms
08IN,Gas City - Marion Health
08IS,Du Quoin - Rla Restricted Landing
08K,Harvard
08KS,Bennington - Alderson
08KT,Morganfield - Hospital
08KY,Burnside - Boss
08LL,Dwight - Sauer
08LS,Grand Coteau - Aeleron
08M,Carthage
08MA,Southborough - Wormid
08MD,Towson - St
08ME,Avon - Lindbergh
08MI,Lansing - Sparrow Hospital
08MN,Chisholm/Hibbing - Christenson Point
08MO,Jasper - Twin Oaks
08MS,Coldwater - Midsouth
08MT,Grass Range - Matovich
08N,Lebanon - Keller Brothers
08NC,Lewisville - Whiteheart Farm
08ND,Golden Valley - Brecht Strip
08NE,Laurel Muni Apt
08NH,North Conway - Meml Hospital
08NJ,Livingston - Center
08NR,Zirconia - Bell Mountain
08NY,Middletown - Md1
08OH,Hartford - Kenley
08OK,Wilburton - Parks
08OL,Hydro - Broken B
08OR,Silver Lake - Saxon Sycan
08PA,Long Pond - Pocono Raceway Corporate
08R,West Kingston - Richmond
08SC,Anderson - Anmed
08SD,Armour - Douglas County
08TA,Fischer - Rancho Del Lago
08TE,Mountain Home - Egm
08TN,Fayetteville - Ptc
08TS,Bynum - Flying G Ranch
08TT,Fredericksburg - Lz Tango Charlie
08TX,Weatherford - Cross Wind
08U,North Fork - Stevens-Crosby
08UT,La Sal - Pinelodge Rwy
08VA,Buchanan - Springwood Airstrip
08WA,Lacey - P-L Ranch
08WI,Howard - Faikel
08XA,Snook - Knolle Ranch
08XS,Old Ocean - Peterson
09A,Butler Choctaw
09AA,Talkeetna - Sheldon Chalet
09AK,Big Lake - West Beaver
09AL,Eutaw - Home
09AN,Homer - Kachemak
09AR,Magnolia
09AZ,St David - Stronghold
09CA,King City - Mee Meml Hospital
09CL,Grass Valley - Alta Sierra
09CO,Swink - Cottonwood
09FA,Lake Placid Lakes
09FD,Bushnell - Cheryl-Lane Landings
09FL,Miami Gardens - Hard Rock Stadium
09GA,Moultrie - Strip
